checkpoint,checkpoint_step,checkpoint_type,checkpoint_path,eval_loss,eval_samples,generation_success,generation_success_rate,format_valid,format_valid_rate,generation_errors,parse_errors,mean_prompt_tokens,mean_completion_tokens,reasoning_reference_pairs,emotion_reference_samples,appraisal_reasoning_bleu,appraisal_reasoning_rouge_l,appraisal_reasoning_bertscore,appraisals_normalized_rmse,positive_intensity_normalized_rmse,positive_example_f1,positive_micro_f1,positive_macro_f1,negative_intensity_normalized_rmse,negative_example_f1,negative_micro_f1,negative_macro_f1,judge_enabled,elapsed_seconds,judge_success,judge_success_rate_among_valid,judge_coverage_total,judge_api_or_parse_failures,judge_invalid_hard_gate,judge_dimension_specific_validity,judge_situation_grounding,judge_experiencer_fidelity,judge_raw_appraisal_emotion_linkage,judge_appraisal_reward,judge_coherence_reward,judge_transition_reward,judge_outcome_label_reward,judge_outcome_intensity_reward,judge_outcome_reward,judge_positive_label_score,judge_negative_label_score,judge_positive_intensity_score,judge_negative_intensity_score,judge_process_gate,judge_process_gate_enabled,judge_relevance,judge_epistemic,judge_goal_congruence,judge_agency_accountability,judge_control_coping_potential
base,0,base,/data/liyanhong/model/Llama-3.1-8B-Instruct,,100,100,1.0,78,0.78,0,22,996.8,195.05,390,78,0.0014154739125385144,0.1344731091877763,,,0.21098736814243055,0.7416934916934916,0.4387096774193548,0.33528457653457655,0.32794794945213107,0.6370638620638619,0.5698005698005698,0.3908727786669832,True,434.55940002016723,78,1.0,0.78,0,22,0.6269230769230769,0.6698717948717948,0.5544871794871793,0.7371794871794872,0.617094017094017,0.7339743589743589,0.6102564102564104,0.689378676878677,0.8557692307692306,0.4617720011470011,0.7416934916934916,0.6370638620638619,0.9123931623931625,0.7991452991452993,0.5974358974358973,1.0,0.7222222222222221,0.5320512820512823,0.7051282051282052,0.4925213675213676,0.6335470085470084
checkpoint-25,25,adapter,/data/liyanhong/Appraisal_emotion/output/model_trained/Llama-3.1-8B-Instruct-grpo-warmup-sft/checkpoint-25,1.117924690246582,100,100,1.0,99,0.99,0,1,996.8,242.05,495,99,0.03980764579805936,0.23728604672339101,,,0.25403588565574325,0.7249921910795349,0.5740740740740741,0.54033879608261,0.30612893859983303,0.5827873585449342,0.5837988826815642,0.45794235937619926,True,751.1603598939255,99,1.0,0.99,0,1,0.5313131313131311,0.533838383838384,0.48383838383838396,0.5126262626262627,0.5163299663299663,0.5681818181818182,0.435858585858586,0.6538897748122349,0.8518518518518522,0.339180853634768,0.7249921910795349,0.5827873585449342,0.8855218855218856,0.8181818181818175,0.4324915824915824,1.0,0.6254208754208752,0.4957912457912457,0.5673400673400674,0.42760942760942755,0.46548821548821545
checkpoint-50,50,adapter,/data/liyanhong/Appraisal_emotion/output/model_trained/Llama-3.1-8B-Instruct-grpo-warmup-sft/checkpoint-50,1.1021392345428467,100,100,1.0,100,1.0,0,0,996.8,219.41,500,100,0.039516123943337325,0.24381381893977414,,,0.23452078799117146,0.7547183111006639,0.6202898550724638,0.5833363045623108,0.28528737947706145,0.6250470917970915,0.6562054208273894,0.5675395613879591,True,945.70753568504,100,1.0,1.0,0,0,0.5245000000000001,0.5185000000000002,0.48150000000000015,0.5075,0.5081666666666669,0.5575,0.433,0.689882701448878,0.8608333333333333,0.34651501691391395,0.7547183111006639,0.6250470917970915,0.89,0.8316666666666661,0.43116666666666675,1.0,0.585833333333333,0.48916666666666664,0.5558333333333334,0.4483333333333333,0.4616666666666668
checkpoint-75,75,adapter,/data/liyanhong/Appraisal_emotion/output/model_trained/Llama-3.1-8B-Instruct-grpo-warmup-sft/checkpoint-75,1.1088024377822876,100,100,1.0,96,0.96,0,4,996.8,290.94,480,96,0.045994629538485814,0.24831216724747007,,,0.22502571869471732,0.7273595719367778,0.6107382550335569,0.5651682962040387,0.30523973577549873,0.6313765040787097,0.6322930800542741,0.5049571219851756,True,949.1208936749026,96,1.0,0.96,0,4,0.5416666666666666,0.5385416666666666,0.5000000000000002,0.4817708333333333,0.526736111111111,0.5651041666666666,0.42708333333333326,0.6793680380077438,0.849826388888889,0.33449108157977653,0.7273595719367778,0.6313765040787097,0.8975694444444445,0.8020833333333331,0.42482638888888885,1.0,0.644097222222222,0.5243055555555557,0.537326388888889,0.46961805555555564,0.4583333333333332
checkpoint-100,100,adapter,/data/liyanhong/Appraisal_emotion/output/model_trained/Llama-3.1-8B-Instruct-grpo-warmup-sft/checkpoint-100,1.1086416244506836,100,100,1.0,99,0.99,0,1,996.8,232.74,495,99,0.048207561566152746,0.2551169921897627,,,0.23210354127426375,0.7541729875063208,0.6451612903225806,0.611312418562563,0.2333092820697191,0.6736946851920111,0.6841339155749637,0.5951416162775497,True,868.0625447041821,99,1.0,0.99,0,1,0.5722222222222223,0.5631313131313131,0.5277777777777778,0.547979797979798,0.5543771043771045,0.6035353535353535,0.4803030303030305,0.7139338363491664,0.8771043771043772,0.3858279972651629,0.7541729875063208,0.6736946851920111,0.8922558922558923,0.8619528619528618,0.477777777777778,1.0,0.6405723905723902,0.5404040404040404,0.6111111111111112,0.48400673400673405,0.49579124579124545
final,,adapter,/data/liyanhong/Appraisal_emotion/output/model_trained/Llama-3.1-8B-Instruct-grpo-warmup-sft,1.1086416244506836,100,100,1.0,99,0.99,0,1,996.8,232.74,495,99,0.048207561566152746,0.2551169921897627,,,0.23210354127426375,0.7541729875063208,0.6451612903225806,0.611312418562563,0.2333092820697191,0.6736946851920111,0.6841339155749637,0.5951416162775497,True,402.4934332699049,99,1.0,0.99,0,1,0.5722222222222223,0.5631313131313131,0.5277777777777778,0.547979797979798,0.5543771043771045,0.6035353535353535,0.4803030303030305,0.7139338363491664,0.8771043771043772,0.3858279972651629,0.7541729875063208,0.6736946851920111,0.8922558922558923,0.8619528619528618,0.477777777777778,1.0,0.6405723905723902,0.5404040404040404,0.6111111111111112,0.48400673400673405,0.49579124579124545
