metric,dimension,all_matched_pairs,all_matched_first_person_mean,all_matched_third_person_mean_reference,all_matched_third_person_best_reference,all_matched_mean_reference_uplift,all_matched_best_reference_uplift,all_matched_third_mean_better_rate,all_matched_any_third_better_rate,low_first_person_pairs,low_first_person_first_person_mean,low_first_person_third_person_mean_reference,low_first_person_third_person_best_reference,low_first_person_mean_reference_uplift,low_first_person_best_reference_uplift,low_first_person_third_mean_better_rate,low_first_person_any_third_better_rate
rouge-2,accountability,45,0.07071583055954503,0.04837987444218421,0.11792039907097578,-0.022335956117360847,0.04720456851143075,0.4666666666666667,0.7777777777777778,12,0.01879934016731472,0.04688710128496292,0.11406164691392033,0.028087761117648217,0.09526230674660562,0.9166666666666666,0.9166666666666666
rouge-2,control,45,0.07861315035193872,0.04724317024101143,0.10736736534054647,-0.03136998011092733,0.028754214988607772,0.37777777777777777,0.7111111111111111,12,0.04238461293549008,0.04773287626901756,0.1106303875641511,0.005348263333527466,0.06824577462866101,0.6666666666666666,1.0
rouge-2,certainty,45,0.06300904404181157,0.042812662983966916,0.11739731649738822,-0.020196381057844652,0.054388272455576654,0.4666666666666667,0.7777777777777778,12,0.015888864974230827,0.041410840276172124,0.09888383722167916,0.025521975301941294,0.08299497224744834,0.75,0.9166666666666666
rouge-l,relevance,45,0.23724308100348385,0.20568858000786905,0.28685594454407237,-0.03155450099561479,0.049612863540588456,0.4444444444444444,0.6666666666666666,12,0.17443997137294354,0.20207473510308951,0.2874685159326034,0.027634763730145968,0.11302854455965987,0.75,0.8333333333333334
rouge-l,congruence,45,0.18512047889504543,0.1581949553668647,0.23318110629065236,-0.026925523528180777,0.04806062739560687,0.3111111111111111,0.6888888888888889,12,0.12921953970343353,0.15268897506875537,0.21701735394311275,0.02346943536532182,0.08779781423967924,0.5833333333333334,0.9166666666666666
rouge-l,accountability,45,0.1897025084395991,0.1625868795291029,0.25711985448714886,-0.027115628910496174,0.06741734604754965,0.4222222222222222,0.7777777777777778,12,0.12198736327561042,0.1578779946224578,0.24470868522862663,0.03589063134684736,0.12272132195301617,0.75,1.0
rouge-l,control,45,0.21898993473881884,0.17953250867369874,0.25299250225051306,-0.03945742606512009,0.03400256751169417,0.3111111111111111,0.7111111111111111,12,0.1656350999021343,0.1766562378795499,0.2482992128704609,0.011021137977415598,0.08266411296832657,0.5833333333333334,1.0
rouge-l,certainty,45,0.18608002043094507,0.14931152036173082,0.24067338094170465,-0.03676850006921432,0.0545933605107596,0.37777777777777777,0.6888888888888889,12,0.11651189345685153,0.14122746154044483,0.21425145987920638,0.024715568083593303,0.09773956642235483,0.8333333333333334,0.8333333333333334
bertscore,relevance,45,0.8891278094715542,0.8866912566290963,0.9041968954934014,-0.0024365528424580975,0.015069086021847195,0.4444444444444444,0.7777777777777778,12,0.8752152224381765,0.8809669435024262,0.8967186460892359,0.005751721064249667,0.021503423651059467,0.6666666666666666,0.9166666666666666
bertscore,congruence,45,0.8848591181966994,0.8825373548931545,0.8991286277770996,-0.002321763303544786,0.014269509580400255,0.4666666666666667,0.8,12,0.8673846572637558,0.8796163628498713,0.8961202849944433,0.012231705586115518,0.028735627730687458,0.8333333333333334,1.0
bertscore,accountability,45,0.8820934851964315,0.8782506031460231,0.8981419152683682,-0.003842882050408266,0.016048430071936712,0.4444444444444444,0.7333333333333333,12,0.8672598203023275,0.8795736829439799,0.8993500371774038,0.012313862641652426,0.032090216875076294,0.8333333333333334,0.9166666666666666
bertscore,control,45,0.8875930468241374,0.8809248243437874,0.8999729633331299,-0.006668222480350076,0.012379916508992513,0.3333333333333333,0.8,12,0.8746671328941981,0.8783825953801472,0.8976851056019465,0.0037154624859492003,0.023017972707748413,0.5833333333333334,0.9166666666666666
bertscore,certainty,45,0.8810733079910278,0.8759846639633179,0.8977065020137363,-0.005088644027709963,0.016633194022708468,0.37777777777777777,0.8222222222222222,12,0.8650672435760498,0.872834418217341,0.8879342873891195,0.007767174641291295,0.02286704381306966,0.6666666666666666,0.8333333333333334
