metric,value
emotion_correct_samples,61
emotion_correct_rate,0.6224489795918368
emotion_correct_but_low_appraisal_score_samples,61
emotion_correct_but_low_appraisal_score_rate,1.0
appraisal_reasoning_bleu_given_emotion_correct,0.02710752030013818
appraisal_reasoning_rouge_1_given_emotion_correct,0.26161138409296236
appraisal_reasoning_rouge_2_given_emotion_correct,0.07977354763395342
appraisal_reasoning_rouge_l_given_emotion_correct,0.19699770241250247
appraisal_reasoning_bertscore_given_emotion_correct,0.8836719004834285
