metric,value
emotion_correct_samples,45
emotion_correct_rate,0.45918367346938777
emotion_correct_but_low_appraisal_score_samples,45
emotion_correct_but_low_appraisal_score_rate,1.0
appraisal_reasoning_bleu_given_emotion_correct,0.0013305912671618565
appraisal_reasoning_rouge_1_given_emotion_correct,0.19417119460287327
appraisal_reasoning_rouge_2_given_emotion_correct,0.03045784185270449
appraisal_reasoning_rouge_l_given_emotion_correct,0.14696628876636
appraisal_reasoning_bertscore_given_emotion_correct,0.8746021170086331
