dimension,all_complete_pairs,all_complete_bleu,all_complete_rouge_1_f1,all_complete_rouge_2_f1,all_complete_rouge_l_f1,all_complete_bertscore_f1,emotion_correct_pairs,emotion_correct_bleu,emotion_correct_rouge_1_f1,emotion_correct_rouge_2_f1,emotion_correct_rouge_l_f1,emotion_correct_bertscore_f1,emotion_incorrect_pairs,emotion_incorrect_bleu,emotion_incorrect_rouge_1_f1,emotion_incorrect_rouge_2_f1,emotion_incorrect_rouge_l_f1,emotion_incorrect_bertscore_f1
relevance,98,0.0012284915854501336,0.21941576923239817,0.03151791746839571,0.1524982491244762,0.8757543393543789,45,0.0,0.20956504735937237,0.029012339280999687,0.15160472047970366,0.8749479293823242,53,0.0022715504787568512,0.22777958969062775,0.03364529517467539,0.15325690552098137,0.8764390270665007
congruence,98,0.0,0.20275739034726264,0.028612322947910867,0.14981799819087493,0.877733801700631,45,0.0,0.20530996563301637,0.03306232551635151,0.14898630403915045,0.8773206737306383,53,0.0,0.20059010944426447,0.024834018880366942,0.15052415360271673,0.8780845707317568
accountability,98,0.0,0.1675759078772744,0.024037020011770865,0.13183897176919504,0.86884063908032,45,0.0,0.16884685497049895,0.022481352457888473,0.1311745626556098,0.8686010466681586,53,0.0,0.1664968018547253,0.02535786982167101,0.13240309271469203,0.8690440666000798
control,98,0.0009096540640687981,0.21236912314111675,0.03758821628065582,0.16797858070941615,0.8788332683699471,45,0.0019810244061942714,0.22229650350755062,0.044513142074539276,0.17656844804994506,0.8793294416533576,53,0.0,0.20394021528282386,0.031708562304717046,0.1606852971184011,0.8784119891670515
certainty,98,0.0021452748656395457,0.15919292545960723,0.023232194701428347,0.1251403501898415,0.8718639070890388,45,0.004671931929615011,0.16483760154392857,0.023220049933743523,0.12649740860739156,0.8728114936086867,53,0.0,0.15440027595405148,0.02324250629663244,0.12398813077871416,0.8710593524968849
